speed,rf_x,rf_y,rf_z
2.4,-3.565361947069621,4.221304908185656,1.9011689385522825
2.4,-4.017914424473597,4.8255301914799285,2.205221706869174
2.4,-4.154321190568613,5.736310554236459,2.1955402638132044
2.4,-3.6895723136134,6.338137148087348,1.8888702947805749
2.4,-2.9302499118052574,6.944763184651321,1.5845933950258155
2.4,-2.0224346932838837,7.853156965528294,1.584484799660813
2.4,-1.1218015461354005,8.761562872294375,1.5843756636539714
2.4,0.23149328160343222,9.66996126649727,1.5914469218294756
2.4,1.5943615219408918,10.578361939652185,1.2943586188666532
2.4,2.976387546925908,11.486764873238284,0.9876854492994239
2.4,3.771637088643702,12.407148058695723,0.8247086775158503
2.4,4.104638289211505,13.032948977423327,0.805438127757762
2.4,4.1191076507744615,13.517448860776996,1.0783579741204483
2.4,4.126385145501722,13.558862660068835,1.6698178905524084
2.4,3.985177345582789,13.291322486567115,2.2852235908551597
2.4,3.831990403224109,12.724412691497012,2.7713036486831286
2.4,3.63809083064591,11.858123446042194,2.943630077543636
2.4,4.054911680079283,10.702039101347179,3.082425540797037
2.4,4.375936753763509,9.047795238520479,3.408032461657007
2.4,4.402376213943626,7.599524208638485,3.652206213191003
2.4,7.963857862868236,7.044593072749948,-0.8553293216790608
2.4,9.822479352787616,3.840777581881061,1.0078763398239985
2.4,0.9657838759521495,-2.591526512959013,-5.566567989666384
2.4,-0.5861022253888073,-8.231072700772247,-3.492595107659535
2.4,0.9348164810122495,-5.337162780565756,0.823109628193397
2.4,1.6629879774003649,-4.431119871345854,3.304236170100249
2.4,2.6977110560176145,-0.2726381921124287,-3.8162731598714843
2.4,2.0607207391026563,2.1853898181464206,-1.6249443597940245
2.4,2.5326222888903844,-1.1669059295404696,-2.8058131178786496
2.4,1.0262283276116988,-1.6451739041222724,-3.1579921724751734
2.4,0.8299195274934187,-2.121046374521124,-1.6660189820714968
2.4,1.0359667807583064,-3.4160127596271237,0.2474896947066579
2.4,0.03013458962517907,-2.620132778293412,0.501244269095904
2.4,-0.20450516369091445,-2.2936692993313934,0.8795366021952302
2.4,-0.17090136697847985,-2.692888971506122,1.0039557649660353
2.4,-0.1516703080293447,-3.302874723531841,0.8673208482321725
2.4,-0.3719416746384275,-2.902163854067694,0.627700392680042
2.4,0.14545863539648432,-2.1421894317136045,1.0970092488587313
2.4,0.270065464274947,-3.1952484450063285,0.6490142971802143
2.4,0.5647177541940646,-3.3142466124156877,0.5794399679195962
2.4,0.418693957348699,-2.879988532340967,0.8906701012154165
2.4,-0.019531574068306353,-2.9391129331074963,0.2055769070699822
2.4,0.37331559213412,-3.0221819029634194,0.21743506534976606
2.4,0.14824940814554377,-2.901672130076651,0.5047186957858102
2.4,-0.17740958384569344,-2.6949406625320016,0.3824543679741851
2.4,-0.09112812165218262,-2.7851857383285044,0.4565763613764645
2.4,0.055022706912851056,-2.801187165376903,0.5163364553202007
2.4,0.3616444540358452,-3.118962261497323,0.5066318889994578
2.4,0.43834817190319925,-2.859535044417115,0.5065116514753559
2.4,0.570124172701579,-2.454005981768859,0.5063913816766487
2.4,0.47677923861824023,-3.028043161088568,0.46315613840033315
2.4,0.5822132818413748,-2.739868149814052,0.7624174103122898
2.4,0.37629649456048886,-2.607366565283456,0.6066222059479558
2.4,0.36916849896681286,-2.6089858547339735,0.563386943713024
2.4,0.4769930372537395,-2.3878676653007203,0.7955870618841949
2.4,0.34292155161729065,-2.456545274015779,0.7020657686099624
2.4,0.2543576142566078,-2.556358427807394,0.7689968619114266
2.4,0.38852868737446883,-2.3999035734993193,0.7042189296831739
2.4,0.455637563177825,-2.473364327810329,0.7208640396941789
2.4,0.44370623387836117,-2.4582100073538706,0.9458735995887684
2.4,0.4198056716930774,-2.2562523386378754,0.8619270768876167
2.4,0.5587598888448978,-2.152481648064714,0.9144965789888019
2.4,0.4941359575633061,-2.4175362319313014,0.8640807731689062
2.4,0.5420807500850101,-2.4311199964293406,0.911863146584185
2.4,0.4990073386546352,-2.4830203576457146,0.9117433762717613
2.4,0.5182067855254522,-2.3720636615630184,0.684100369150906
2.4,0.5901045329601358,-2.06470953406024,0.753435592024354
2.4,0.6835440232315549,-2.1046281909135884,0.7604970415796786
2.4,0.7865668686235973,-2.3098049077974623,0.5136954243907098
2.4,0.6644590114320323,-2.4167921502855534,0.6812192769190012
2.4,0.5782743639654128,-2.1884626138520966,0.7601393355153352
2.4,0.5974677285460205,-1.9936723138732446,0.6833846364212787
2.4,0.5759485875108533,-2.1317832256285874,0.4940505157707656
2.4,0.6574138232126484,-2.279477384302805,0.3167043595917356
2.4,0.8682032880209452,-1.8978620749874608,0.3501163938077987
2.4,0.8610429843231857,-1.9234097226829092,0.39070950423993034
2.4,0.6335490845258608,-2.312995582300352,0.134324646608208
2.4,0.6359711610556961,-2.0247878586640016,0.31623113653355517
2.4,0.8635317463608946,-1.3557745065133857,0.2562428195395009
2.4,0.8467929129124168,-1.613628540505761,-0.35699988894604084
2.4,0.6935371332053104,-2.178044055218663,0.8188367164110333
2.4,0.9330629597600855,-1.3557463951525413,0.332525970852822
2.4,0.9163211751241408,-1.1369883747335183,-0.8698949604687746
2.4,0.8325172518732362,-1.7852273683162387,0.4712014875097909
2.4,1.2540646926130241,-0.9844793501868194,-0.20191068023446002
2.4,0.8349530199806323,-0.7753028145658849,-1.3947466288091996
2.4,0.5260164866463077,-1.768419325611689,-0.484759813404968
2.4,1.0337811053151162,-0.4048393774233048,-1.780580709293381
2.4,1.1583367287287003,0.07497819595611536,-3.758981181825388
2.4,0.7799424996670876,-0.19484429946398107,-4.0177570964296025
2.4,0.03749821095055259,0.5771658923750986,-4.664528088610764
2.4,-0.3456852145584676,0.4247021675779245,-5.100540803948415
2.4,-0.9875396739534216,1.7475750022915697,-6.540057418095792
2.4,-1.5216126142816855,2.1938663127022786,-6.719803016779013
2.4,-1.6485420725426305,2.7431438250321785,-7.457580405796626
2.4,-2.664023035685744,3.656471245536099,-7.9414943610194815
2.4,-2.446064210608845,4.914679820498509,-9.129530618391074
2.4,-0.8318097841563994,3.543151906230648,-11.977330323928324
2.4,-2.196961203117977,1.3740913790678646,-7.800522303722878
2.4,-3.2220204742268264,-1.9326144746328149,-2.92916601394295
2.4,-2.3909501941585685,-2.817946718494952,-1.2264198308357246
2.4,-3.358524719530021,-0.10595123612489515,1.5373173692697817
2.4,-6.136741676898197,-1.800803241114018,-0.6350820900403482
2.4,-6.112791912759486,-3.9483075670410455,-0.8770890852681288
2.4,-4.505734693549092,-5.451549267474477,-1.5382280430069053
2.4,-2.3526047356407624,-7.096103345975166,-2.3406699499445844
2.4,-0.9994223253468303,-8.292781216099138,-2.144384892866943
2.4,-0.23301615891850852,-8.76377350140073,-1.042793498661038
2.4,-0.46054047254635394,-8.111500535436143,0.7389941656813128
2.4,-1.1119852123608183,-6.558698381767485,2.8177602630599248
2.4,-1.3107778244328545,-5.149592503967292,4.295379676262612
2.4,-1.1311603847745644,-3.9416695156235395,4.683265357961616
2.4,-0.6329935093399063,-3.2822034303450236,4.738239190710179
2.4,-0.4150501640254662,-2.838291911767099,4.170513776939343
2.4,-0.5372105846712869,-2.6338811835576585,3.684211678955011
2.4,-0.8773108370617464,-1.9432863194233316,3.3727535289352883
2.4,-1.2054339469264723,-1.420334023115865,3.6265184689280594
2.4,-1.763484699941302,-1.0865964984386567,4.067095560848825
2.4,-2.5322943517292975,-0.4271272392534109,4.869318626478751
2.4,-3.114293027861844,0.16048425051311876,5.405691017462965
2.4,-3.7777253638598665,0.5301572468623258,5.604374105309109
2.4,-4.457923835195191,0.6387669757169149,5.221059651386162
2.4,-4.371716897292104,0.812054472914072,3.89651526692361
2.4,-3.689151085529144,1.1745380541986539,2.2103157530109208
2.4,-3.267640015241125,1.9753132252164254,1.1779530705973098
2.4,-3.0712594617214224,3.386820151507349,0.9263686204917115
2.4,-3.2556941202244856,4.400747778498964,1.1609779133629492
2.4,-3.214999905968565,5.2230766614999276,1.2686461397399695
2.4,-3.0234188941386373,5.604730885693717,1.031434340012178
2.4,-2.6809510798895206,5.859444046132628,0.5379562444298259
2.4,-2.19717101834919,6.0542772877320425,0.10435872310448262
2.4,-1.4954527946222673,6.768834825265079,-0.18075430399046385
2.4,-0.16145143379366447,7.936045673357568,-0.511365777019246
2.4,1.5749160990676425,9.55591962648343,-0.9497593862831545
2.4,3.419065318904777,11.609297738960494,-1.0097319122199966
2.4,5.1961427906691275,13.92133636494682,-0.41587741540358075
2.4,6.448718029316625,16.17349497843764,0.906075613456757
2.4,6.920504789804217,18.056817423263002,2.3884911435165934
2.4,6.66660584708664,19.106682463086287,3.2386230737968664
2.4,5.998370986113553,18.913532391403685,3.9737919431843682
2.4,5.088240391827088,17.57794912154476,4.54610533043238
2.4,4.52297959915975,15.871145786674154,4.828612024161492
2.4,4.218791593032719,14.027826619794357,5.125500502860666
2.4,4.28102596835445,12.131808243749573,4.917036964888555
2.4,8.956078570019582,11.308768521230574,1.6261736484751266
2.4,-0.4851260170918699,6.804575424780355,-0.45758846827645144
2.4,-2.132923978115018,-8.74783581319939,-2.6491327373876894
2.4,0.4321033617996409,-5.971164530441355,-2.5845630810025586
2.4,-2.3317797325139153,-2.8544001448053833,-3.02295181138527
2.4,-0.22180047623738494,2.501702755728578,-2.215921490918162
2.4,3.7035970554316773,-0.4912204869326445,-0.4413109420997204
2.4,3.6484784772796384,-1.3741402909887452,-3.8064141475427693
2.4,0.6043699240766021,-1.5193971947392706,-3.34186962997278
2.4,0.8989274105763424,-2.4286569665769893,-1.2247714522263196
2.4,0.9084644715163697,-3.0457357849813156,0.31033896275034933
2.4,0.6138418016180952,-2.9059732085118437,0.7868525719025329
2.4,0.15874647558707156,-2.754252365802015,1.1052979420682703
2.4,-0.15024919188672642,-2.580959475552959,0.9662934899795094
2.4,-0.46882989612858467,-3.049544856527496,0.8081205822632994
2.4,-0.3515137224787224,-2.627176407544324,0.7888673654430274
2.4,0.11068215370803043,-2.2670820374723615,1.1073138659397244
2.4,0.12980872706254346,-2.838653395225274,0.8389754900734231
2.4,0.2590911422016822,-3.218616069756157,0.5059796740645645
2.4,0.5823754737286045,-2.6046494200523744,0.6759330140354723
2.4,0.46736798623306486,-3.0349084951305825,0.06510871601186437
2.4,0.32362637429173796,-2.6173386140319206,0.28775208592440243
2.4,-0.002140417531433145,-2.731461235817379,0.65649603961028
2.4,0.11756426531513409,-2.6012857595633423,0.21332540281483026
2.4,0.13667658737105093,-2.581286744357304,0.4551284511931466
2.4,0.12225771316435606,-2.5540973692937374,0.4981419003117434
2.4,0.25633219721192296,-2.893351123470135,0.49326316565023337
2.4,0.42393665401987446,-2.47578340598321,0.4931719426030178
2.4,0.4598118280840103,-2.5204535059252584,0.49308094648103445
2.4,0.2945029238902502,-2.9076009623806867,0.4618532325135128
2.4,0.4165969959150986,-2.334359694422696,0.7874841058497724
2.4,0.42852417862613273,-2.532302631110129,0.514361841561038
2.4,0.6057100364825146,-2.4356713914844836,0.7441984846423102
2.4,0.3445943239355305,-2.564160554567068,0.8255413600142402
2.4,0.2439500154291531,-2.48908294935633,0.6554050825250879
2.4,0.5576501054006369,-2.1098370448253227,0.7678754769526952
2.4,0.4977161582811349,-2.513763259919332,0.8037103380065106
2.4,0.27492583849634095,-2.3404794835536453,0.7796749503296572
2.4,0.526350360467159,-2.2534262246114727,0.9424417585010478
2.4,0.6244930786103988,-2.2238602019420073,0.8369739070375536
2.4,0.47354953733950006,-2.543962474358629,0.7937801003962272
2.4,0.4136128210652839,-2.3419477906372568,0.820031442976563
2.4,0.5596561341967374,-2.247706459514839,0.6618745591228289
2.4,0.6003100811418296,-2.239695739687987,0.7767497431264211
2.4,0.5954647163083576,-2.4400501498117593,0.6473266392282861
2.4,0.5954061041048264,-2.053620158498589,0.8675811216213956
2.4,0.5953469689413627,-1.9977094543173384,1.0327525844532472
2.4,0.6168398852306661,-2.401643285792508,0.5919800918284225
2.4,0.48265739738899555,-2.0463525914035685,0.5799145278111855
2.4,0.4323008498371937,-2.189224329584434,0.6756315464281546
2.4,0.41787782700174364,-2.0518840687230617,0.5126785916709913
2.4,0.5495350133158594,-1.9049701071611878,0.591630527499147
2.4,0.5806097732206027,-2.0526317031941907,0.723272067842624
2.4,0.6787452011660305,-2.176357795071085,0.3016591266048143
2.4,0.9085990116123774,-1.713289840994637,0.21535206766533593
2.4,0.7456795590312726,-1.918450589121601,0.6727152848829114
2.4,0.34085483790700033,-2.1738983475630853,0.03554744209828827
2.4,0.3431838827378059,-1.9814715243850363,0.35878847313716083
2.4,0.5754392380372411,-1.2453852976088364,0.6245527718131254
2.4,0.4819628883355386,-1.6732761952120268,0.44722885193066203
2.4,0.5729140781810174,-1.847304935129144,-0.06298756271186996
2.4,0.4099820121415168,-1.3866473352526516,0.27941259168078486
2.4,0.1704137748058611,-1.440917693433976,0.3942796389038377
2.4,0.6733051307853541,-1.2532941474846437,-0.10157483724450751
2.4,1.0660199347152994,-1.4680386551775053,0.1809549670400314
2.4,0.3378633212565501,-0.8924220042480497,0.370073965570901
2.4,0.6132202250970948,-0.5443298123958051,-0.9233236578262113
2.4,-0.22270990904631588,-1.5733861872858026,-0.4851189393102646
2.4,0.6753555135734896,-0.8109611465501156,0.07043299497821971
2.4,1.4369045577357906,0.12869017221054835,-1.6636396510797706
2.4,0.5458802082536858,0.16541808142519593,-3.467176923578703
2.4,-0.08647447002415976,0.23088807355085697,-3.4073930085855135
2.4,-0.005112812211719403,0.08798262107088486,-3.1679782121367435
2.4,0.05708951661622153,0.7138856164932497,-5.2229851102358165
2.4,-0.4195914685740926,1.323022052348856,-6.034986568850541
2.4,-0.9561530827735463,1.2040688111898779,-5.675821223910873
2.4,-0.24968998092832054,1.68626125558814,-7.1488402013069265
2.4,-1.109580147938083,2.087029378133567,-6.013694156887376
2.4,-3.8950657786542204,2.8805689414327156,-4.6893328964581995
2.4,-2.946708817878132,3.214273208107416,-8.135849385781803
2.4,-0.41285021035961916,2.4031491007935437,-9.70227945057656
2.4,-1.0667612707954277,0.9405807421399552,-5.357802006516712
2.4,-2.297883273827918,-2.6367895851924166,-0.44570823923273484
2.4,-3.3469712640438347,-2.075567588531382,2.454570255687913
2.4,-5.387605345973189,0.6914608948057372,1.2737415026997185
2.4,-5.857109404088297,-0.7830814024887199,-1.4494842237020429
2.4,-3.965121162803013,-3.0815180277136545,-3.233863628982455
2.4,-1.8647590364722624,-5.732027238160161,-5.0445829985681065
2.4,-0.6337986693918496,-8.715440311112596,-4.759660857848332
2.4,-0.46382935579848567,-10.91568337384986,-3.497574552176593
2.4,-1.3979660398699636,-11.432237683647019,-1.816356126872124
2.4,-2.46622534572542,-10.195628837777454,0.03730234277816744
2.4,-3.067450467425667,-8.2285493535156,1.6227160315176463
2.4,-2.9645435089736156,-6.556055958140328,2.384236724117749
2.4,-2.4472918643148365,-5.27874040893889,2.513483145375785
2.4,-2.2126665973382855,-4.17386667321142,2.2259908001128315
2.4,-2.114547751877188,-3.459383538275825,1.8187476231717088
2.4,-2.243962311710088,-2.8263348814730156,1.3276778294151113
2.4,-2.6559836105620347,-1.5490259701724092,1.2605273937238675
2.4,-3.1206946721059143,-0.2190292517776494,2.1897098109953133
2.4,-3.623733649963929,0.40204609626752325,3.7655476261417564
2.4,-4.368658037709241,0.9297088864733001,4.946199214089061
2.4,-4.955523938867819,0.9520175812978111,5.164057969775409
2.4,-4.931648896920498,0.6007008431411281,4.047884058150235
2.4,-4.598827745305319,0.4505657943393164,1.9497583741734668
2.4,-4.203732927420137,0.7961969071585286,0.31386987281500883
2.4,-4.060107856625535,1.8244158037891438,-0.3376638209455475
2.4,-4.0985075362479995,2.83346411633996,-0.289862452119097
2.4,-4.3740249195833805,4.151466706832449,-0.28515663570713157
2.4,-3.959762149900589,5.536538387195137,-0.587023356701846
2.4,-2.6880957504455725,6.947938209258166,-1.4038172100862318
2.4,-0.9062800944455233,8.524605184748129,-2.1966650908342547
2.4,0.8156551548867091,10.290475695283233,-2.31650797391105
2.4,2.6860842143480546,12.453914122368898,-2.318994074273186
2.4,4.482271040740606,14.971805497393914,-2.1155096668690976
2.4,5.753936640867065,17.429834261627192,-1.1719591166395849
2.4,6.007726311526336,19.43998546621536,-0.008076228518504786
2.4,5.420867519509375,20.307711092181222,1.5653542725664755
2.4,4.331049901595355,20.6389453904233,3.6896454316930662
2.4,2.9442442245481644,20.692358421716527,5.907337323943539
2.4,2.925001485113218,21.234356416714167,6.752688414404039
2.4,4.369116340014528,22.518802535950968,6.874738108164123
2.4,4.457646055952,22.24888145984764,8.342788180316598
2.4,8.85961305959896,19.51449003871664,-0.08297868404220891
2.4,3.367743717599962,-2.959664027230775,-3.764217829811851
2.4,4.445415476568873,-6.498793717876294,-1.8938115118868708
2.4,3.0897559030873474,-0.21355396318551878,-1.7478073051557634
2.4,-4.112153616296423,0.4553702768013093,-12.956593924500073
2.4,1.1568012049312488,5.128753891978558,-3.6520430247936484
2.4,2.430868913248619,-3.0112158778155838,-2.6869440209021596
2.4,0.14114996509759334,-1.978259142789914,-2.516994897683039
2.4,1.168525516882844,-2.1068970031909418,7.487001430279927e-05
2.4,0.8379321649709776,-3.0594202292936665,1.128028677348022
2.4,-0.29500149431024175,-2.0073115413924483,0.1435752194832929
2.4,0.01866704532738676,-2.775421289792016,0.7086992015917014
2.4,0.12396136013180918,-2.8873032847986293,0.8355414588506688
2.4,-0.06293518368996086,-2.3621066667113992,0.9216620464428896
2.4,-0.20192949997251516,-3.0440035458137653,0.5575130795558134
2.4,-0.12537849259272477,-3.067279092365134,0.38976975338119974
2.4,0.36312385452958296,-2.5540678265926884,0.9093833231146681
2.4,0.6001468674309446,-2.448003478683383,0.10455822395534083
2.4,0.3869007121035839,-3.3646243287760953,0.22899480110546805
2.4,0.11857143449474994,-2.1472882169539584,0.6432281997701385
2.4,0.2765651705060785,-2.8292000832368474,0.30543641515696757
2.4,0.11361498599297391,-2.632138517574053,0.35802337247584
2.4,0.13748648676400801,-2.643453749837104,0.6309523369386686
2.4,0.30025782858033145,-2.6188473698127623,0.33386103375916554
2.4,0.4414766571550962,-2.3259989771961784,0.6427133981526635
2.4,0.42462701815289183,-2.4953906215841974,0.4845406753359435
2.4,0.27126148718919807,-2.494738392468842,0.6353236705271005
2.4,0.27836800982986176,-2.64017936923093,0.48433101894545294
2.4,0.2854648015905935,-2.4599114311338557,0.6542720858114721
2.4,0.4386620079364853,-2.0305506973175205,0.9367824663467492
2.4,0.42420640428154827,-2.640640686792417,0.4792260057740095
2.4,0.12235713598826917,-2.172977408433859,0.7928626293171455
2.4,0.28034190836719086,-2.4836913609763664,0.6346868522013251
2.4,0.2778646166765093,-2.327383443008186,0.6369727896531001
2.4,0.12689346612169045,-2.175865622965956,0.7877522369006004
2.4,0.2776976518551007,-2.326125859129523,0.6367559991737389
2.4,0.2800079889756534,-2.4811762296168975,0.6342532617044722
2.4,0.2799248125284665,-2.1763857223793526,0.7874249397271013
2.4,0.27984176750453793,-2.3242609351966603,0.6364272784786178
2.4,0.27975885884043544,-2.182341845672483,0.7872043531990806
2.4,0.2724951714180047,-2.0116823812298854,0.6409929991320483
2.4,0.43048108006409375,-2.308050529107009,0.6337005615250534
2.4,0.279510999550297,-2.33139952635286,0.6335885456301056
2.4,0.42073192459271547,-2.1703234998232483,0.6334760267042584
2.4,0.4326277798517419,-2.32779097617685,0.6261820800102036
2.4,0.4325457899318657,-2.04698009187142,0.7769463408169003
2.4,0.42048595938150274,-1.8499888731601315,0.7888102944002567
2.4,0.5832699326928503,-2.1152478960880576,0.8102482860438395
2.4,0.44667250430176947,-2.469123706488776,0.4868053910396426
2.4,0.4298259285876974,-2.212271229981107,0.7669124046888895
2.4,0.41776681987358605,-2.012898631965978,0.6662044923028915
2.4,0.5661798824258722,-2.158419307623426,0.4696915792039276
2.4,0.5996297504544762,-2.0021678819097404,0.7474033307261915
2.4,0.43428997811282843,-2.3201251795547253,0.8215276022167532
2.4,0.6234151394979282,-1.9219850550591069,0.45976358903658215
2.4,0.012603678650435591,-1.830410592692061,1.0488136465616007
2.4,0.3166926495547919,-1.9352256964888674,0.7636940401837681
2.4,0.7501168761393673,-2.535811960248696,0.23427543531223044
2.4,0.3237242522766267,-1.380852877532509,0.10960704737451316
2.4,0.520031411783322,-1.6485432116610876,0.6435814818177364
2.4,0.6468938084207118,-2.464694255713179,0.15965992410987306
2.4,0.11271939589480966,-1.83664977252376,-0.9325901302589911
2.4,0.7497218778566643,-1.8384988346824171,-2.887051485775358
2.4,0.8095140079026685,-1.5313950245318448,-3.1793658969010585
2.4,0.6489737795748974,-2.062558994166465,-3.5890379380720767
2.4,0.31598380636148493,-1.994963095431163,-4.360356233697494
2.4,0.507515161697039,-1.5585341199201246,-5.1484404281586205
